group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Georgia,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,26.3,600,2284,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Georgia,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,32.2,742,2301,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Georgia,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,36.3,728,2007,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Georgia,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,37.2,581,1560,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Georgia,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,42.3,101,239,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,majmatch,1,,actcat,1,1-15,Percent who declared in major area,36.4,60,165,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,majmatch,1,,actcat,2,16-19,Percent who declared in major area,48,133,277,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,majmatch,1,,actcat,3,20-23,Percent who declared in major area,57.5,237,412,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,majmatch,1,,actcat,4,24-27,Percent who declared in major area,58.6,174,297,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,majmatch,1,,actcat,5,28-32,Percent who declared in major area,74.3,107,144,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,majmatch,1,,actcat,6,33-36,Percent who declared in major area,85,17,20,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Hawaii,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,21.9,33,151,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,28.9,69,239,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,31.3,112,358,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,37.9,97,256,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,44,48,109,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Hawaii,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,71.4,10,14,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,majmatch,1,,actcat,1,1-15,Percent who declared in major area,46.8,22,47,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Idaho,majmatch,1,,actcat,2,16-19,Percent who declared in major area,51.6,98,190,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
